,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
20050221,25939.506,24601.825,24008.443,23908.408,24316.972,26330.179,32140.115,39347.72,45577.127,47641.441,47594.687,47107.695,43787.252,43834.002,45207.471,45842.178,46393.302,47163.878,48195.97,46445.084,43837.697,40741.243,36748.554,33382.799
20050222,30498.383,28728.556,27855.668,27633.935,27877.282,29392.901,34276.276,41324.389,47148.302,48975.327,48973.908,48615.554,45347.183,44988.211,46177.692,46701.87,47017.407,47672.867,48802.38,47104.272,44236.126,41097.007,37223.291,33706.883
20050223,30849.846,28990.161,28175.663,27865.484,28149.985,29673.369,34513.199,41256.599,46972.51,48911.565,48998.36,48669.08,45142.537,44608.167,45859.977,46462.726,46907.818,47831.794,49062.59,47132.995,44295.085,41309.581,37428.781,33846.572
20050224,30809.075,28851.854,28036.478,27884.975,28099.018,29558.973,34423.154,41330.101,47101.416,49021.132,49063.586,48777.517,45175.822,44784.467,45985.715,46496.765,46924.179,47545.068,48887.674,47089.674,44272.248,41321.845,37493.237,34154.294
20050225,30930.703,28971.96,28123.395,27901.359,28191.087,29729.062,34460.027,41253.743,47076.969,48860.845,48834.129,48417.053,44946.781,44337.721,45557.654,46013.544,46198.758,47007.611,48469.382,46854.636,44099.498,40954.664,37148.078,33777.148
20050226,30471.052,28728.759,27653.535,27188.458,26976.211,27533.023,29839.415,33882.227,37922.645,40201.475,40406.419,39441.377,36455.827,34109.236,33517.455,33527.712,34049.584,36072.617,39153.391,39141.126,36958.481,34450.21,32036.939,29592.328
20050227,27486.287,25637.185,24610.43,24037.702,23754.658,23897.489,24757.482,25563.151,27772.281,30481.835,31916.964,32500.389,31751.606,29910.936,29336.258,29052.825,28969.417,30965.544,34686.771,35378.552,34898.855,33260.003,31173.474,28599.073
20050228,25551.649,24184.72,23583.761,23491.767,23941.509,25927.293,31976.041,39078.628,45168.464,47078.503,47013.017,46588.31,43221.775,43175.11,44676.55,45070.804,45468.638,46422.415,47681.64,45788.887,43081.713,40016.372,35991.392,32777.038
20050301,30831.214,29059.974,28214.304,27924.725,28111.497,29793.205,34481.347,41276.333,47350.881,49280.223,49088.059,48580.699,45146.521,44881.161,46420.144,47091.077,47286.92,47173.043,48495.122,47657.74,44900.087,41707.499,37628.063,34147.195
20050302,30584.334,28840.741,27985.919,27734.855,27968.333,29461.669,33994.719,40860.996,46787.028,48583.441,48421.845,47927.825,44364.806,43857.808,45253.106,45691.137,45870.545,45744.557,47666.866,47011.866,44267.705,41175.881,36656.265,33004.495
20050303,31454.044,29398.46,28542.884,28263.403,28477.585,29960.586,34455.201,41377.662,47539.775,49381.955,49256.072,48664.095,44900.713,44529.657,45898.99,46270.439,46491.665,46616.15,48504.167,47428.277,44581.903,41468.055,37647.711,34384.255
20050304,31366.239,29457.892,28491.53,28185.085,28510.974,30144.228,34470.074,41250.594,47433.118,49248.38,49117.279,48667.379,45145.614,44647.406,45873.846,46263.339,46365.13,46329.613,48024.559,47461.389,44548.732,41377.534,37613.54,34363.825
20050305,31263.045,29330.167,28201.771,27659.959,27607.049,28154.674,30178.234,34306.913,38567.085,40624,40777.585,39739.55,36955.398,34748.145,34151.192,34128.974,34484.687,35859.804,39132.799,40174.374,37976.866,35682.828,32962.641,30335.763
20050306,27796.704,26006.815,24840.496,24189.254,23960.836,24196.572,24639.554,25541.723,28243.78,31008.414,32502.022,33061.688,32332.122,30479.301,29956.993,29665.374,29512.219,30658.114,34088.439,35913.948,35302.924,33762.423,31523.8,28920.96
20050307,26109.843,24551.571,23979.618,23892.785,24293.671,26396.787,31989.39,38984.386,45547.789,47759.597,47992.074,47851.703,44741.431,44589.207,45885.505,46469.945,46857.858,47092.331,47995.577,46796.223,44049.701,40983.136,37074.087,33712.529
20050308,31175.062,29247.663,28261.207,27938.048,28314.101,29842.465,34226.063,40999.637,47491.772,49565.397,49506.224,48931.511,45379.896,44927.673,46281.366,47022.101,47256.101,47239.92,48917.598,48150.143,45405.657,42288.244,38215.096,34646.148
20050309,31477.536,29492.97,28598.499,28260.76,28670.353,30238.913,34875.313,41755.559,47517.394,49364.016,49519.993,49008.317,45288.911,44828.394,46113.291,46608.7,46839.012,46809.227,48666.904,48064.587,45271.59,42235.16,38249.587,34724.587
20050310,31537.164,29543.719,28625.583,28365.353,28666.097,30198.78,34824.555,41457.226,47691.707,49460.153,49394.197,48730.097,45088.905,44644.113,45903.391,46328.061,46555.63,46572.004,48469.353,47862.955,45202.187,42189.302,38282.171,34809.149
20050311,31413.986,29519.916,28569.666,28235.393,28546.654,30208.906,34856.545,41600.682,47319.828,49091.276,48893.488,48387.385,44855.01,44347.819,45573.629,45946.539,46142.288,46149.564,48026.871,47574.629,44688.517,41546.26,37719.504,34257.023
20050312,30754.272,28853.739,27802.487,27329.005,27243.818,27804.235,29707.698,33838.794,38151.954,40187.78,40225.956,39085.513,36376.32,34215.1,33593.756,33578.761,33949.638,35173.302,38454.565,39797.668,37693.555,35234.703,32612.031,30127.029
20050313,27528.179,25688.635,24577.39,23978.057,23763.596,23965.188,24316.633,25488.315,28156.269,30715.762,31865.563,32147.206,31434.469,29639.538,29060.381,28704.586,28462.17,29565.027,33261.746,35592.075,35094.021,33514.658,31395.9,28896.167
20050314,26107.437,24576.92,24023.122,23958.245,24376.769,26463.544,31679.417,38717.328,44890.288,46563.667,46413.622,45814.67,42614.944,42702.471,44101.513,44450.943,44470.168,44116.437,45595.427,46145.333,43656.513,40561.103,36517.367,33090.374
20050315,30231.015,28465.682,27707.35,27467.398,27720.858,29230.965,33275.703,40064.608,45889.579,47309.527,47121.143,46553.08,43101.059,42924.347,44267.799,44578.433,44636.459,44322.988,45961.336,46715.928,44035.636,41030.781,37376.262,33985.615
20050316,30623.694,28956.687,28125.626,27904.297,28181.658,29627.104,33655.989,40252.737,45892.614,47454.93,47310.189,46696.922,43216.575,42971.518,44291.623,44614.183,44592.624,43980.943,45594.518,46474.842,43666.065,40614.378,36719.107,33346.76
20050317,30620.26,29024.239,28165.234,27856.92,28132.724,29530.097,33521.209,40127.415,45842.888,47344.854,47211.475,46608.45,43100.63,42716.574,44034.864,44363.605,44337.815,43766.934,45393.929,46261.557,43692.938,40717.906,36851.306,33538.503
20050318,30409.362,28787.568,27959.596,27734.765,27948.514,29294.73,33144.765,39536.331,45155.803,46571.323,46339.515,45810.924,42466.747,42068.537,43312.274,43569.563,43483.718,43164.698,44930.559,45799.771,43213.996,40177.021,36270.545,32974.144
20050319,29733.272,28065.328,27027.792,26583.153,26446.7,26904.311,28521.202,32471.1,36373.07,38120.38,37974.26,36904.292,34305.152,32282.791,31709.185,31616.26,31723.857,32616.993,35786.672,38094.52,36266.634,33977.968,31371.11,28827.069
20050320,26522.458,24873.701,23842.529,23346.1,23265.813,23407.309,23620.115,24753.131,27247.98,29574.42,30588.454,30867.117,30207.297,28538.473,27955.894,27610.125,27448.282,28304.946,31642.109,33997.802,33459.417,32058.504,30078.851,27613.516
20050321,25474.562,24040.181,23511.446,23512.682,23970.201,25878.154,30712.552,37472.433,43517.654,45125.439,45081.022,44586.609,41446.461,41489.516,42874.501,43244.463,43313.794,42777.437,44012.226,44663.482,42217.827,39326.927,35492.99,32321.796
20050322,29628.417,28053.538,27316.536,27079.651,27380.622,28737.996,32687.861,39353.344,45225.162,46864.622,46763.824,46305.049,42995.291,42545.99,43881.328,44251.541,44352.382,43946.183,44944.176,45577.291,42978.896,39980.26,35774.33,32224.603
20050323,29976.036,28413.452,27599.948,27352.505,27603.896,28949.095,32845.615,39469.181,45265.625,46978.22,46980.974,46482.888,43118.052,42659.899,43942.242,44306.769,44432.366,43917.213,44873.057,45570.598,42796.662,39733.109,35536.76,32094.944
20050324,29944.642,28402.439,27629.873,27378.538,27609.84,28900.747,32716.13,39300.014,45187.531,46735.237,46629.197,46128.99,42694.098,42211.647,43442.542,43849.106,43992.961,43506.283,44476.758,45147.104,42440.225,39556.582,35769.993,32577.998
20050325,29843.617,28290.842,27498.223,27218.688,27380.21,28642.639,32107.588,38458.966,44334.611,46151.172,46041.154,45575.367,42172.585,41723.818,42911.977,43252.046,43288.37,42651.789,43400.245,44011.588,41260.603,38386.043,34773.425,31564.671
20050326,28818.383,27125.869,26062.357,25540.322,25240.559,25429.495,26621.138,29479.031,32990.085,35131.7,35203.033,34332.81,32347.314,30346.204,29774.552,29533.789,29445.991,29631.845,32341.7,35065.097,33265.431,31219.707,28727.281,26116.538
20050327,23882.221,22191.788,20620.138,20406.085,20527.584,20543.989,21527.777,24265.864,26579.352,27555.83,27723.361,26533.949,23743.89,22715.602,22782.999,22611.972,22711.383,23676.694,25908.237,28545.038,28171.183,26895.58,24920.399,
